team,team_code,association,rank,previous_rank,points,previous_points,rank_change
Brazil,BRA,CONMEBOL,1,1,1841.3,1837.56,0
Belgium,BEL,UEFA,2,2,1816.71,1821.92,0
Argentina,ARG,CONMEBOL,3,3,1773.88,1770.65,0
France,FRA,UEFA,4,4,1759.78,1764.85,0
England,ENG,UEFA,5,5,1728.47,1737.46,0
Italy,ITA,UEFA,6,7,1726.14,1713.86,1
Spain,ESP,UEFA,7,6,1715.22,1716.93,-1
Netherlands,NED,UEFA,8,8,1694.51,1679.41,0
Portugal,POR,UEFA,9,9,1676.56,1678.65,0
Denmark,DEN,UEFA,10,10,1666.57,1665.47,0
Germany,GER,UEFA,11,11,1650.21,1658.96,0
Croatia,CRO,UEFA,12,15,1645.64,1632.15,3
Mexico,MEX,CONCACAF,13,12,1644.89,1649.57,-1
Uruguay,URU,CONMEBOL,14,13,1638.71,1640.95,-1
Switzerland,SUI,UEFA,15,16,1635.92,1621.43,1
USA,USA,CONCACAF,16,14,1627.48,1635.01,-2
Colombia,COL,CONMEBOL,17,17,1611.04,1604.07,0
Senegal,SEN,CAF,18,18,1584.38,1584.59,0
Wales,WAL,UEFA,19,19,1569.82,1582.13,0
IR Iran,IRN,AFC,20,22,1564.61,1558.64,2
Serbia,SRB,UEFA,21,25,1563.62,1549.53,4
Morocco,MAR,CAF,22,23,1563.5,1558.35,1
Peru,PER,CONMEBOL,23,21,1561.01,1562.24,-2
Japan,JPN,AFC,24,24,1559.54,1554.69,0
Sweden,SWE,UEFA,25,20,1553.33,1563.44,-5
Poland,POL,UEFA,26,26,1548.59,1546.18,0
Ukraine,UKR,UEFA,27,27,1536.99,1542.79,0
Korea Republic,KOR,AFC,28,28,1530.3,1526.02,0
Chile,CHI,CONMEBOL,29,29,1509.61,1514.86,0
Tunisia,TUN,CAF,30,30,1507.54,1507.86,0
Costa Rica,CRC,CONCACAF,31,34,1503.59,1500.06,3
Nigeria,NGA,CAF,32,31,1498.47,1504.7,-1
Russia,RUS,UEFA,33,35,1496.11,1493.42,2
Austria,AUT,UEFA,34,33,1492.95,1502.47,-1
Czechia,CZE,UEFA,35,32,1492.21,1502.9,-3
Hungary,HUN,UEFA,36,37,1492.2,1486.76,1
Algeria,ALG,CAF,37,41,1489.1,1480.59,4
Australia,AUS,AFC,38,39,1488.72,1483.73,1
Egypt,EGY,CAF,39,40,1486.44,1482.63,1
Scotland,SCO,UEFA,40,45,1479.53,1462.96,5
Canada,CAN,CONCACAF,41,43,1475.0,1473.82,2
Norway,NOR,UEFA,42,36,1473.04,1488.57,-6
Cameroon,CMR,CAF,43,38,1471.44,1484.95,-5
Ecuador,ECU,CONMEBOL,44,44,1464.39,1463.74,0
Türkiye,TUR,UEFA,45,42,1460.14,1475.13,-3
Mali,MLI,CAF,46,46,1448.85,1442.88,0
Paraguay,PAR,CONMEBOL,47,50,1448.77,1440.13,3
Côte d'Ivoire,CIV,CAF,48,52,1443.06,1435.91,4
Republic of Ireland,IRL,UEFA,49,47,1440.19,1442.48,-2
Qatar,QAT,AFC,50,48,1439.89,1441.97,-2
Saudi Arabia,KSA,AFC,51,53,1437.78,1435.74,2
Greece,GRE,UEFA,52,49,1437.6,1441.45,-3
Romania,ROU,UEFA,53,54,1434.68,1427.84,1
Burkina Faso,BFA,CAF,54,55,1432.25,1425.64,1
Slovakia,SVK,UEFA,55,51,1425.59,1439.99,-4
Finland,FIN,UEFA,56,59,1405.6,1398.41,3
Venezuela,VEN,CONMEBOL,57,56,1404.37,1405.17,-1
Bosnia and Herzegovina,BIH,UEFA,58,57,1403.51,1403.98,-1
Northern Ireland,NIR,UEFA,59,58,1396.55,1399.1,-1
Panama,PAN,CONCACAF,60,61,1393.28,1389.27,1
Ghana,GHA,CAF,61,60,1393.0,1393.47,-1
Iceland,ISL,UEFA,62,63,1384.41,1379.61,1
Slovenia,SVN,UEFA,63,65,1384.04,1372.48,2
Jamaica,JAM,CONCACAF,64,62,1378.86,1382.06,-2
North Macedonia,MKD,UEFA,65,64,1358.51,1375.2,-1
Albania,ALB,UEFA,66,66,1354.11,1361.81,0
South Africa,RSA,CAF,67,68,1349.59,1350.55,1
Iraq,IRQ,AFC,68,70,1343.01,1338.91,2
Montenegro,MNE,UEFA,69,67,1341.03,1354.59,-2
United Arab Emirates,UAE,AFC,70,69,1337.57,1346.09,-1
Cabo Verde,CPV,CAF,71,73,1336.05,1331.46,2
Bulgaria,BUL,UEFA,72,74,1335.36,1325.16,2
Congo DR,COD,CAF,73,72,1333.92,1332.84,-1
El Salvador,SLV,CONCACAF,74,71,1330.51,1333.48,-3
Oman,OMA,AFC,75,75,1320.29,1323.03,0
Israel,ISR,UEFA,76,76,1316.55,1316.35,0
Uzbekistan,UZB,AFC,77,77,1309.98,1306.63,0
Georgia,GEO,UEFA,78,82,1307.34,1296.46,4
China PR,CHN,AFC,79,78,1305.06,1305.06,-1
Honduras,HON,CONCACAF,80,80,1301.98,1299.69,0
Gabon,GAB,CAF,81,79,1301.84,1301.84,-2
Bolivia,BOL,CONMEBOL,82,81,1296.28,1298.81,-1
Guinea,GUI,CAF,83,83,1290.47,1294.89,0
Jordan,JOR,AFC,84,86,1289.99,1279.74,2
Bahrain,BHR,AFC,85,85,1280.64,1289.25,0
Curaçao,CUW,CONCACAF,86,84,1278.64,1293.35,-2
Haiti,HAI,CONCACAF,87,88,1269.07,1269.07,1
Zambia,ZAM,CAF,88,87,1267.41,1270.8,-1
Uganda,UGA,CAF,89,90,1260.69,1264.56,1
Syria,SYR,AFC,90,89,1255.92,1265.03,-1
Benin,BEN,CAF,91,91,1247.47,1258.71,0
Luxembourg,LUX,UEFA,92,93,1243.8,1235.36,1
Armenia,ARM,UEFA,93,92,1233.93,1242.42,-1
Palestine,PLE,AFC,94,94,1233.72,1233.72,0
Kyrgyz Republic,KGZ,AFC,95,95,1230.22,1232.91,0
Vietnam,VIE,AFC,96,97,1226.65,1218.84,1
Belarus,BLR,UEFA,97,96,1221.06,1226.55,-1
